1.938000	1.938000	B
4.064000	4.064000	B
4.074000	4.074000	B
4.159000	4.159000	B
4.178000	4.178000	B
4.202000	4.202000	B
4.257000	4.257000	B
4.308000	4.308000	B
4.487000	4.487000	B
4.901000	4.901000	B
4.935000	4.935000	B
4.952000	4.952000	B
4.973000	4.973000	B
5.366000	5.366000	B
5.789000	5.789000	B
5.872000	5.872000	B
5.892000	5.892000	B
5.917000	5.917000	B
6.202000	6.202000	B
6.284000	6.284000	B
6.615000	6.615000	B
6.650000	6.650000	B
6.666000	6.666000	B
6.688000	6.688000	B
7.079000	7.079000	B
7.503000	7.503000	B
7.586000	7.586000	B
7.607000	7.607000	B
7.632000	7.632000	B
7.916000	7.916000	B
8.330000	8.330000	B
8.364000	8.364000	B
8.380000	8.380000	B
8.402000	8.402000	B
8.794000	8.794000	B
9.217000	9.217000	B
9.300000	9.300000	B
9.321000	9.321000	B
9.345000	9.345000	B
9.630000	9.630000	B
10.044000	10.044000	B
10.079000	10.079000	B
10.095000	10.095000	B
10.116000	10.116000	B
10.506000	10.506000	B
10.526000	10.526000	B
10.920000	10.920000	B
10.931000	10.931000	B
11.015000	11.015000	B
11.036000	11.036000	B
11.061000	11.061000	B
11.345000	11.345000	B
11.758000	11.758000	B
11.793000	11.793000	B
11.808000	11.808000	B
11.830000	11.830000	B
12.223000	12.223000	B
12.635000	12.635000	B
12.646000	12.646000	B
12.730000	12.730000	B
12.750000	12.750000	B
13.058000	13.058000	B
13.141000	13.141000	B
13.472000	13.472000	B
13.507000	13.507000	B
13.523000	13.523000	B
13.545000	13.545000	B
13.935000	13.935000	B
14.360000	14.360000	B
14.442000	14.442000	B
14.464000	14.464000	B
14.773000	14.773000	B
14.856000	14.856000	B
15.186000	15.186000	B
15.221000	15.221000	B
15.237000	15.237000	B
15.258000	15.258000	B
15.651000	15.651000	B
29.376000	29.376000	B
29.396000	29.396000	B
31.486000	31.486000	B
31.552000	31.552000	B
31.565000	31.565000	B
31.936000	31.936000	B
31.957000	31.957000	B
31.976000	31.976000	B
31.994000	31.994000	B
32.347000	32.347000	B
32.359000	32.359000	B
32.424000	32.424000	B
32.441000	32.441000	B
32.794000	32.794000	B
33.242000	33.242000	B
33.282000	33.282000	B
33.327000	33.327000	B
33.340000	33.340000	B
33.648000	33.648000	B
33.669000	33.669000	B
34.100000	34.100000	B
34.117000	34.117000	B
34.489000	34.489000	B
34.527000	34.527000	B
34.544000	34.544000	B
34.901000	34.901000	B
35.017000	35.017000	B
35.059000	35.059000	B
35.344000	35.344000	B
35.361000	35.361000	B
35.383000	35.383000	B
35.404000	35.404000	B
35.424000	35.424000	B
35.774000	35.774000	B
35.790000	35.790000	B
36.191000	36.191000	B
36.240000	36.240000	B
36.419000	36.419000	B
36.648000	36.648000	B
36.670000	36.670000	B
36.708000	36.708000	B
37.080000	37.080000	B
37.278000	37.278000	B
37.290000	37.290000	B
37.302000	37.302000	B
37.491000	37.491000	B
37.525000	37.525000	B
37.566000	37.566000	B
37.611000	37.611000	B
37.635000	37.635000	B
37.671000	37.671000	B
37.694000	37.694000	B
37.707000	37.707000	B
37.938000	37.938000	B
37.954000	37.954000	B
37.978000	37.978000	B
38.136000	38.136000	B
38.343000	38.343000	B
38.425000	38.425000	B
38.777000	38.777000	B
38.792000	38.792000	B
39.204000	39.204000	B
39.216000	39.216000	B
39.280000	39.280000	B
39.651000	39.651000	B
40.098000	40.098000	B
40.140000	40.140000	B
40.198000	40.198000	B
40.492000	40.492000	B
40.506000	40.506000	B
40.958000	40.958000	B
41.143000	41.143000	B
41.153000	41.153000	B
41.330000	41.330000	B
41.343000	41.343000	B
41.384000	41.384000	B
41.400000	41.400000	B
41.423000	41.423000	B
41.443000	41.443000	B
41.571000	41.571000	B
41.759000	41.759000	B
41.854000	41.854000	B
41.872000	41.872000	B
41.914000	41.914000	B
42.207000	42.207000	B
42.220000	42.220000	B
42.419000	42.419000	B
42.434000	42.434000	B
42.621000	42.621000	B
42.629000	42.629000	B
42.648000	42.648000	B
43.049000	43.049000	B
43.116000	43.116000	B
44.136000	44.136000	B
44.146000	44.146000	B
44.577000	44.577000	B
44.587000	44.587000	B
45.182000	45.182000	B
45.253000	45.253000	B
45.554000	45.554000	B
45.565000	45.565000	B
45.602000	45.602000	B
45.612000	45.612000	B
45.622000	45.622000	B
45.648000	45.648000	B
45.660000	45.660000	B
45.673000	45.673000	B
45.685000	45.685000	B
45.698000	45.698000	B
45.725000	45.725000	B
45.737000	45.737000	B
45.749000	45.749000	B
45.762000	45.762000	B
45.775000	45.775000	B
45.788000	45.788000	B
45.802000	45.802000	B
45.815000	45.815000	B
45.828000	45.828000	B
45.855000	45.855000	B
45.868000	45.868000	B
45.882000	45.882000	B
45.896000	45.896000	B
45.938000	45.938000	B
45.952000	45.952000	B
45.966000	45.966000	B
46.010000	46.010000	B
46.194000	46.194000	B
46.210000	46.210000	B
46.227000	46.227000	B
46.245000	46.245000	B
48.628000	48.628000	B
48.713000	48.713000	B
48.726000	48.726000	B
50.382000	50.382000	B
50.427000	50.427000	B
50.487000	50.487000	B
50.644000	50.644000	B
52.046000	52.046000	B
52.184000	52.184000	B
52.199000	52.199000	B
52.314000	52.314000	B
52.349000	52.349000	B
52.475000	52.475000	B
52.486000	52.486000	B
52.526000	52.526000	B
52.917000	52.917000	B
52.932000	52.932000	B
53.038000	53.038000	B
53.055000	53.055000	B
53.331000	53.331000	B
53.385000	53.385000	B
53.793000	53.793000	B
53.816000	53.816000	B
53.827000	53.827000	B
53.852000	53.852000	B
54.222000	54.222000	B
54.420000	54.420000	B
54.443000	54.443000	B
54.632000	54.632000	B
54.709000	54.709000	B
54.751000	54.751000	B
54.849000	54.849000	B
54.874000	54.874000	B
55.081000	55.081000	B
55.164000	55.164000	B
55.279000	55.279000	B
55.303000	55.303000	B
55.326000	55.326000	B
55.477000	55.477000	B
55.486000	55.486000	B
55.568000	55.568000	B
55.584000	55.584000	B
56.346000	56.346000	B
56.360000	56.360000	B
56.423000	56.423000	B
56.793000	56.793000	B
57.241000	57.241000	B
57.281000	57.281000	B
57.326000	57.326000	B
57.631000	57.631000	B
57.691000	57.691000	B
58.061000	58.061000	B
58.101000	58.101000	B
58.488000	58.488000	B
58.546000	58.546000	B
58.903000	58.903000	B
59.347000	59.347000	B
59.365000	59.365000	B
59.775000	59.775000	B
59.790000	59.790000	B
60.202000	60.202000	B
60.219000	60.219000	B
61.304000	61.304000	B
62.344000	62.344000	B
62.427000	62.427000	B
62.440000	62.440000	B
62.794000	62.794000	B
63.204000	63.204000	B
63.217000	63.217000	B
63.282000	63.282000	B
63.297000	63.297000	B
64.099000	64.099000	B
64.140000	64.140000	B
64.154000	64.154000	B
64.187000	64.187000	B
64.198000	64.198000	B
64.491000	64.491000	B
64.505000	64.505000	B
65.347000	65.347000	B
65.760000	65.760000	B
65.915000	65.915000	B
66.201000	66.201000	B
66.220000	66.220000	B
66.419000	66.419000	B
66.630000	66.630000	B
66.647000	66.647000	B
66.732000	66.732000	B
66.749000	66.749000	B
66.771000	66.771000	B
67.061000	67.061000	B
67.075000	67.075000	B
67.119000	67.119000	B
67.139000	67.139000	B
67.506000	67.506000	B
67.543000	67.543000	B
67.566000	67.566000	B
67.610000	67.610000	B
67.937000	67.937000	B
68.347000	68.347000	B
68.360000	68.360000	B
68.423000	68.423000	B
68.464000	68.464000	B
68.491000	68.491000	B
68.505000	68.505000	B
68.564000	68.564000	B
68.576000	68.576000	B
68.589000	68.589000	B
68.794000	68.794000	B
68.834000	68.834000	B
68.992000	68.992000	B
69.015000	69.015000	B
69.201000	69.201000	B
69.283000	69.283000	B
69.562000	69.562000	B
69.653000	69.653000	B
70.076000	70.076000	B
70.137000	70.137000	B
70.956000	70.956000	B
70.997000	70.997000	B
71.041000	71.041000	B
71.055000	71.055000	B
71.344000	71.344000	B
71.362000	71.362000	B
71.777000	71.777000	B
71.815000	71.815000	B
72.000000	72.000000	B
72.205000	72.205000	B
72.244000	72.244000	B
72.261000	72.261000	B
72.616000	72.616000	B
72.756000	72.756000	B
72.771000	72.771000	B
73.058000	73.058000	B
73.077000	73.077000	B
73.099000	73.099000	B
73.491000	73.491000	B
73.504000	73.504000	B
73.916000	73.916000	B
73.933000	73.933000	B
73.956000	73.956000	B
75.017000	75.017000	B
75.448000	75.448000	B
81.876000	81.876000	B
82.302000	82.302000	B
82.719000	82.719000	B
89.773000	89.773000	B
89.788000	89.788000	B
89.853000	89.853000	B
89.868000	89.868000	B
89.891000	89.891000	B
89.976000	89.976000	B
90.001000	90.001000	B
90.027000	90.027000	B
91.490000	91.490000	B
91.502000	91.502000	B
91.584000	91.584000	B
91.606000	91.606000	B
91.915000	91.915000	B
91.996000	91.996000	B
92.312000	92.312000	B
92.329000	92.329000	B
92.365000	92.365000	B
92.381000	92.381000	B
92.402000	92.402000	B
92.777000	92.777000	B
92.790000	92.790000	B
92.811000	92.811000	B
93.201000	93.201000	B
93.300000	93.300000	B
93.319000	93.319000	B
93.375000	93.375000	B
93.401000	93.401000	B
93.425000	93.425000	B
93.452000	93.452000	B
93.480000	93.480000	B
93.507000	93.507000	B
93.532000	93.532000	B
93.556000	93.556000	B
93.610000	93.610000	B
93.630000	93.630000	B
93.712000	93.712000	B
94.044000	94.044000	B
94.078000	94.078000	B
94.095000	94.095000	B
94.116000	94.116000	B
94.506000	94.506000	B
94.919000	94.919000	B
94.931000	94.931000	B
95.013000	95.013000	B
95.034000	95.034000	B
95.119000	95.119000	B
95.141000	95.141000	B
95.168000	95.168000	B
95.344000	95.344000	B
95.404000	95.404000	B
95.423000	95.423000	B
96.646000	96.646000	B
96.729000	96.729000	B
96.748000	96.748000	B
97.059000	97.059000	B
97.455000	97.455000	B
97.472000	97.472000	B
97.505000	97.505000	B
97.544000	97.544000	B
97.936000	97.936000	B
98.347000	98.347000	B
98.359000	98.359000	B
98.441000	98.441000	B
98.463000	98.463000	B
98.490000	98.490000	B
98.773000	98.773000	B
98.835000	98.835000	B
98.852000	98.852000	B
99.166000	99.166000	B
99.185000	99.185000	B
99.221000	99.221000	B
99.238000	99.238000	B
99.259000	99.259000	B
99.651000	99.651000	B
100.062000	100.062000	B
